Month,Day,Hour,Minute,Wind Speed at 100m (m/s),wind_speed,power_output
1,1,0,0,1.96,1.96,5614.303506012198
1,1,1,0,1.74,1.74,3928.035620383037
1,1,2,0,1.97,1.97,5700.675903358588
1,1,3,0,2.51,2.51,6600.0
1,1,4,0,3.06,3.06,6600.0
1,1,5,0,3.42,3.42,6600.0
1,1,6,0,3.66,3.66,6600.0
1,1,7,0,3.64,3.64,6600.0
1,1,8,0,3.56,3.56,6600.0
1,1,9,0,4.02,4.02,6600.0
1,1,10,0,4.12,4.12,6600.0
1,1,11,0,4.2,4.2,6600.0
1,1,12,0,4.26,4.26,6600.0
1,1,13,0,4.48,4.48,6600.0
1,1,14,0,4.68,4.68,6600.0
1,1,15,0,4.81,4.81,6600.0
1,1,16,0,4.69,4.69,6600.0
1,1,17,0,3.79,3.79,6600.0
1,1,18,0,3.43,3.43,6600.0
1,1,19,0,3.19,3.19,6600.0
1,1,20,0,2.92,2.92,6600.0
1,1,21,0,2.8,2.8,6600.0
1,1,22,0,2.73,2.73,6600.0
1,1,23,0,2.63,2.63,6600.0
1,2,0,0,2.45,2.45,6600.0
1,2,1,0,2.3,2.3,6600.0
1,2,2,0,2.19,2.19,6600.0
1,2,3,0,1.98,1.98,5787.929644089762
1,2,4,0,1.62,1.62,3170.098204764415
1,2,5,0,1.21,1.21,1320.9421049868781
1,2,6,0,1.14,1.14,1104.694588552513
1,2,7,0,1.71,1.71,3728.3442363647323
1,2,8,0,2.81,2.81,6600.0
1,2,9,0,3.37,3.37,6600.0
1,2,10,0,3.45,3.45,6600.0
1,2,11,0,2.88,2.88,6600.0
1,2,12,0,2.4,2.4,6600.0
1,2,13,0,2.76,2.76,6600.0
1,2,14,0,3.43,3.43,6600.0
1,2,15,0,4.08,4.08,6600.0
1,2,16,0,4.4,4.4,6600.0
1,2,17,0,3.76,3.76,6600.0
1,2,18,0,3.43,3.43,6600.0
1,2,19,0,3.29,3.29,6600.0
1,2,20,0,3.15,3.15,6600.0
1,2,21,0,3.04,3.04,6600.0
1,2,22,0,3.69,3.69,6600.0
1,2,23,0,4.27,4.27,6600.0
1,3,0,0,2.44,2.44,6600.0
1,3,1,0,1.78,1.78,4205.209912886971
1,3,2,0,2.14,2.14,6600.0
1,3,3,0,2.45,2.45,6600.0
1,3,4,0,2.68,2.68,6600.0
1,3,5,0,3.14,3.14,6600.0
1,3,6,0,3.81,3.81,6600.0
1,3,7,0,3.77,3.77,6600.0
1,3,8,0,3.28,3.28,6600.0
1,3,9,0,3.7,3.7,6600.0
1,3,10,0,4.02,4.02,6600.0
1,3,11,0,3.21,3.21,6600.0
1,3,12,0,2.85,2.85,6600.0
1,3,13,0,3.34,3.34,6600.0
1,3,14,0,4.25,4.25,6600.0
1,3,15,0,4.66,4.66,6600.0
1,3,16,0,4.71,4.71,6600.0
1,3,17,0,3.9,3.9,6600.0
1,3,18,0,3.97,3.97,6600.0
1,3,19,0,4.05,4.05,6600.0
1,3,20,0,3.9,3.9,6600.0
1,3,21,0,3.89,3.89,6600.0
1,3,22,0,3.75,3.75,6600.0
1,3,23,0,3.6,3.6,6600.0
1,4,0,0,3.43,3.43,6600.0
1,4,1,0,3.54,3.54,6600.0
1,4,2,0,3.75,3.75,6600.0
1,4,3,0,4.05,4.05,6600.0
1,4,4,0,4.55,4.55,6600.0
1,4,5,0,5.03,5.03,6600.0
1,4,6,0,5.53,5.53,6600.0
1,4,7,0,5.99,5.99,6600.0
1,4,8,0,6.84,6.84,6600.0
1,4,9,0,7.16,7.16,6600.0
1,4,10,0,6.47,6.47,6600.0
1,4,11,0,4.79,4.79,6600.0
1,4,12,0,3.54,3.54,6600.0
1,4,13,0,2.68,2.68,6600.0
1,4,14,0,2.15,2.15,6600.0
1,4,15,0,1.81,1.81,4421.436551474658
1,4,16,0,1.54,1.54,2723.264565051836
1,4,17,0,1.62,1.62,3170.098204764415
1,4,18,0,3.02,3.02,6600.0
1,4,19,0,4.66,4.66,6600.0
1,4,20,0,5.73,5.73,6600.0
1,4,21,0,6.95,6.95,6600.0
1,4,22,0,7.92,7.92,6600.0
1,4,23,0,8.08,8.08,6600.0
1,5,0,0,7.6,7.6,6600.0
1,5,1,0,6.82,6.82,6600.0
1,5,2,0,5.58,5.58,6600.0
1,5,3,0,4.37,4.37,6600.0
1,5,4,0,4.15,4.15,6600.0
1,5,5,0,4.65,4.65,6600.0
1,5,6,0,5.06,5.06,6600.0
1,5,7,0,5.95,5.95,6600.0
1,5,8,0,6.8,6.8,6600.0
1,5,9,0,7.53,7.53,6600.0
1,5,10,0,7.94,7.94,6600.0
1,5,11,0,7.6,7.6,6600.0
1,5,12,0,6.89,6.89,6600.0
1,5,13,0,5.84,5.84,6600.0
1,5,14,0,4.71,4.71,6600.0
1,5,15,0,3.78,3.78,6600.0
1,5,16,0,2.74,2.74,6600.0
1,5,17,0,2.09,2.09,6600.0
1,5,18,0,1.64,1.64,3288.9647335537634
