PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,25.0772
lon,55.3093
system_capacity,510
azimuth,180
tilt,20
losses,10
array_type,1
module_type,2
dataset,nsrdb
timeframe,hourly

STATION INFO:
lat,25.09000015258789
lon,55.29999923706055
elev,13.0
tz,4.0
location,2607892
city,""
state,Dubai
country,United Arab Emirates
solar_resource_file,2607892.csv
distance,1692
weather_data_source,NSRDB PSM V4 Meteosat Prime Meridian tmy-2022 1.0.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,20.5,20.5,4.0,0.2
Jan,1,1,0.0,0.0,0.0,0.0,0.0,20.1,20.1,3.8,0.2
Jan,1,2,0.0,0.0,0.0,0.0,0.0,19.7,19.7,3.5,0.2
Jan,1,3,0.0,0.0,0.0,0.0,0.0,19.4,19.4,3.3,0.2
Jan,1,4,0.0,0.0,0.0,0.0,0.0,17.2,17.2,2.3,0.2
Jan,1,5,0.0,0.0,0.0,0.0,0.0,17.3,17.3,2.0,0.2
Jan,1,6,0.0,0.0,0.0,0.0,0.0,17.5,17.5,1.8,0.2
Jan,1,7,9545.02,11991.337,38.287,65.0,15.0,18.2,19.276,1.7,0.2
Jan,1,8,141365.145,148653.962,331.739,537.0,68.0,19.8,29.594,1.9,0.2
Jan,1,9,251181.898,262504.908,590.117,733.0,96.0,21.2,37.979,2.1,0.2
Jan,1,10,324656.868,338679.03,779.09,821.0,113.0,22.0,42.482,2.5,0.2
Jan,1,11,370179.128,385873.58,898.656,865.0,123.0,22.7,44.31,3.0,0.2
Jan,1,12,385134.926,401378.789,936.041,879.0,127.0,23.1,44.182,3.4,0.2
Jan,1,13,365673.786,381202.731,880.776,832.0,141.0,23.2,42.149,3.7,0.2
Jan,1,14,318583.816,332382.88,754.317,788.0,133.0,23.1,38.876,3.9,0.2
Jan,1,15,241274.515,252233.571,559.569,700.0,116.0,22.6,34.327,3.9,0.2
Jan,1,16,132736.408,139708.244,317.744,525.0,88.0,21.6,28.507,3.6,0.2
Jan,1,17,11103.018,13606.57,58.772,150.0,33.0,20.2,21.387,2.7,0.2
Jan,1,18,0.0,0.0,0.0,0.0,0.0,19.3,19.3,2.6,0.2
Jan,1,19,0.0,0.0,0.0,0.0,0.0,18.8,18.8,2.6,0.2
Jan,1,20,0.0,0.0,0.0,0.0,0.0,18.5,18.5,2.6,0.2
