PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,42.4737
lon,-83.267776
system_capacity,665
azimuth,180
tilt,20
losses,10
array_type,1
module_type,0
dataset,nsrdb
timeframe,hourly

STATION INFO:
lat,42.4900016784668
lon,-83.26000213623047
elev,216.1999969482422
tz,-5.0
location,993970
city,""
state,Michigan
country,United States
solar_resource_file,993970.csv
distance,1929
weather_data_source,NSRDB PSM V3 GOES tmy-2020 3.2.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.12
Jan,1,1,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.12
Jan,1,2,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,2.9,0.12
Jan,1,3,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,2.7,0.12
Jan,1,4,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,2.5,0.12
Jan,1,5,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,2.3,0.12
Jan,1,6,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,2.2,0.12
Jan,1,7,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,2.4,0.12
Jan,1,8,3045.93,5890.42,15.129,0.0,16.0,-2.0,-1.686,2.9,0.12
Jan,1,9,41032.611,45272.567,73.881,2.0,72.0,0.0,1.705,3.1,0.12
Jan,1,10,173127.303,182219.846,284.459,236.0,123.0,0.0,6.714,3.0,0.12
Jan,1,11,227119.373,238195.35,373.818,282.0,155.0,0.0,9.126,2.8,0.12
Jan,1,12,327505.954,342269.699,543.557,550.0,122.0,1.0,14.763,2.6,0.12
Jan,1,13,285864.93,299098.965,473.326,443.0,135.0,1.0,13.202,2.5,0.12
Jan,1,14,230695.1,241902.434,379.594,386.0,115.0,1.0,10.615,2.6,0.12
Jan,1,15,34875.828,38889.61,63.525,0.0,65.0,0.0,1.692,2.3,0.12
Jan,1,16,7048.926,10040.468,18.909,0.0,20.0,0.0,0.499,2.2,0.12
