PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,25.0772
lon,55.3093
system_capacity,665
azimuth,180
tilt,20
losses,10
array_type,1
module_type,0
dataset,nsrdb
timeframe,hourly

STATION INFO:
lat,25.09000015258789
lon,55.29999923706055
elev,13.0
tz,4.0
location,2607892
city,""
state,Dubai
country,United Arab Emirates
solar_resource_file,2607892.csv
distance,1692
weather_data_source,NSRDB PSM V4 Meteosat Prime Meridian tmy-2022 1.0.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,20.5,20.5,4.0,0.2
Jan,1,1,0.0,0.0,0.0,0.0,0.0,20.1,20.1,3.8,0.2
Jan,1,2,0.0,0.0,0.0,0.0,0.0,19.7,19.7,3.5,0.2
Jan,1,3,0.0,0.0,0.0,0.0,0.0,19.4,19.4,3.3,0.2
Jan,1,4,0.0,0.0,0.0,0.0,0.0,17.2,17.2,2.3,0.2
Jan,1,5,0.0,0.0,0.0,0.0,0.0,17.3,17.3,2.0,0.2
Jan,1,6,0.0,0.0,0.0,0.0,0.0,17.5,17.5,1.8,0.2
Jan,1,7,12404.719,15593.011,38.287,65.0,15.0,18.2,19.242,1.7,0.2
Jan,1,8,184279.695,193781.929,331.739,537.0,68.0,19.8,29.385,1.9,0.2
Jan,1,9,326202.782,340918.654,590.117,733.0,96.0,21.2,37.625,2.1,0.2
Jan,1,10,420518.97,438699.61,779.09,821.0,113.0,22.0,42.046,2.5,0.2
Jan,1,11,478834.745,499157.654,898.656,865.0,123.0,22.7,43.847,3.0,0.2
Jan,1,12,498118.372,519149.678,936.041,879.0,127.0,23.1,43.729,3.4,0.2
Jan,1,13,473504.586,493631.688,880.776,832.0,141.0,23.2,41.742,3.7,0.2
Jan,1,14,413338.884,431255.759,754.317,788.0,133.0,23.1,38.541,3.9,0.2
Jan,1,15,313833.006,328094.467,559.569,700.0,116.0,22.6,34.08,3.9,0.2
Jan,1,16,173076.227,182166.893,317.744,525.0,88.0,21.6,28.355,3.6,0.2
Jan,1,17,14420.092,17682.419,58.772,150.0,33.0,20.2,21.329,2.7,0.2
Jan,1,18,0.0,0.0,0.0,0.0,0.0,19.3,19.3,2.6,0.2
Jan,1,19,0.0,0.0,0.0,0.0,0.0,18.8,18.8,2.6,0.2
Jan,1,20,0.0,0.0,0.0,0.0,0.0,18.5,18.5,2.6,0.2
